"site","title","url","all_types","nonobs"
"kp.ua","Журналиста Сущенко приговорили к 12 годам строгого режима, приговор обжалуют - Новости на KP.UA","https://kp.ua/politics/609674-zhurnalysta-suschenko-pryhovoryly-k-12-hodam-strohoho-rezhyma-pryhovor-obzhaluuit","Достовірна новина;Маніпуляції з емоціями","Достовірна новина"
"112.ua","Что такое Антикоррупционный суд и почему он нужен Украине, а власть не может его создать - 112.ua","http://112.ua/glavnye-novosti/veto-pretknoveniya-parlament-zatyagivaet-sozdanie-antikorrupcionnogo-suda-448312.html","Ненадійне джерело інформації;Маніпулятивний заголовок","Ненадійне джерело інформації"
"politeka.net","Когда дадут горячую воду в Киеве: появились призрачные надежды на разрешение спора двух монополистов. Politeka","https://politeka.net/news/kyiv/662389-kogda-dadut-gorjachuju-vodu-v-kieve-pojavilis-prizrachnye-nadezhdy-na-razreshenie-spora-dvuh-monopolistov/","Достовірна новина;Маніпулятивний заголовок","Достовірна новина"
"fakty.ictv.ua","Зібрання в Монако","https://fakty.ictv.ua/ua/ukraine/polituka/20180604-u-monako-vidbuvsya-tretij-mizhnarodnyj-forum-z-energetychnoyi-bezpeky/","Недостовірна новина","Недостовірна новина"
"newsone.ua","Конфликт Данилюка с Гройсманом - министр финансов объяснил письмо к послам G7 | NEWSONE","http://newsone.ua/news/politics/daniljuk-objasnil-pochemu-pozhalovalsja-na-hrojsmana-poslam-g7.html","Достовірна новина;Маніпулятивний заголовок","Достовірна новина"
"comments.ua","Глава Европарламента выступил за создание армии ЕС | Главные...","http://comments.ua/world/623047-glava-evroparlamenta-vistupil.html","Недостовірна новина","Недостовірна новина"
"apostrophe.ua","Новости Киева - Герой парковки - Не может по-человечески: в сети показали фото наглого героя парковки в Киеве - Апостроф","https://apostrophe.ua/news/society/kiev/2018-06-04/ne-mojet-po-chelovecheski-v-seti-pokazali-foto-naglogo-geroya-parkovki-v-kieve/132098","Ненадійне джерело інформації;Маніпулятивний заголовок","Ненадійне джерело інформації"
"vesti-ukr.com","С Южного моста в Киеве прыгнул человек | ВЕСТИ","http://vesti-ukr.com/kiev/291192-v-kieve-s-juzhnoho-mosta-pryhnul-chelovek","Ненадійне джерело інформації;Маніпуляції з емоціями","Ненадійне джерело інформації"
"apostrophe.ua","Новости - Одиозный российский писатель Лимонов сделал заявление о переделе границ, упомянув Украину - В сети смеются - Апостроф","https://apostrophe.ua/news/society/accidents/2018-06-04/odioznyiy-rossiyskiy-pisatel-sdelal-zayavlenie-o-peredele-granits-upomyanuv-ukrainu-v-seti-smeyutsya/132102","Ненадійне джерело інформації;Маніпуляції з емоціями","Ненадійне джерело інформації"
"gazeta.ua","Новини Києва: 155 років тому народився український архітектор Владислав Городецький | Новини на Gazeta.ua","http://gazeta.ua/articles/kiev-life/_kiyivskij-gaudi-scho-vidomo-pro-najvidomishogo-ukrayinskogo-arhitektora/840551","Недостовірна новина;Маніпуляції з емоціями","Недостовірна новина"
"24tv.ua","Кеті Перрі покепкувала в мережі з сідниць коханого Блума","http://24tv.ua/keti_perri_pokepkuvala_v_merezhi_z_sidnits_kohanogo_bluma_n978437","Ненадійне джерело інформації","Ненадійне джерело інформації"
"newsone.ua","Сущенко вынесли приговор - Украина выразила протест Росии | NEWSONE","http://newsone.ua/news/society/ukraina-vyrazila-protest-rosii-iz-za-prihovora-sushchenko.html","Ненадійне джерело інформації","Ненадійне джерело інформації"
"newsone.ua","Жители Киева могут остаться без горячей воды и отопления - названа причина | NEWSONE","http://newsone.ua/news/society/ves-kiev-s-1-avhusta-mozhet-ostatsja-bez-horjachej-vody-nazvana-prichina.html","Ненадійне джерело інформації","Ненадійне джерело інформації"
"bagnet.org","В Киеве произошло серьезное ДТП, есть пострадавший","http://www.bagnet.org/news/kiev/366988/v-kieve-proizoshlo-sereznoe-dtp-est-postradavshiy","Ненадійне джерело інформації","Ненадійне джерело інформації"
"interfax.com.ua","Акционеры Южного ГОКа намерены направить на дивиденды за 2013 и 2017гг почти 10 млрд грн","http://interfax.com.ua/news/economic/509728.html","Ненадійне джерело інформації","Ненадійне джерело інформації"
"from-ua.com","Жена футболиста украинской сборной взбудоражила пляжными снимками","http://from-ua.com/news/446746-zhena-futbolista-ukrainskoi-sbornoi-vzbudorazhila-plyazhnimi-snimkami.html","Ненадійне джерело інформації;Маніпуляції з емоціями","Ненадійне джерело інформації"
"gazeta.ua","Audi A3: добірка реклами | Новини на Gazeta.ua","http://gazeta.ua/articles/avto/_ak-reklamuyut-ulyublenu-sered-ukrayinciv-model-avtomobiliv/840579","Недостовірна новина","Недостовірна новина"
"gazeta.ua","Новини Києва: біля метро виникла пожежа | Новини на Gazeta.ua","http://gazeta.ua/articles/np/_bilya-stolichnogo-metro-vinikla-pozhezha/840581","Ненадійне джерело інформації","Ненадійне джерело інформації"
"podrobnosti.ua","В центре Киеве пылают МАФы (фото) | podrobnosti.ua","http://podrobnosti.ua/2244365-v-tsentre-kieve-pylajut-mafy-foto.html","Ненадійне джерело інформації;Маніпулятивний заголовок","Ненадійне джерело інформації"
"tsn.ua","Наче боєприпаси вибухали. Очевидець розповів про підпал авто екс-керівника ""Правого сектору"" у Рівному - Укрaїнa - TCH.ua","https://tsn.ua/ukrayina/nache-boyepripasi-vibuhali-ochevidec-rozpoviv-pro-pidpal-avto-eks-kerivnika-pravogo-sektoru-u-rivnomu-1166094.html","Ненадійне джерело інформації","Ненадійне джерело інформації"
"kp.ua","Политические последствия ""дела Бабченко"" - Новости на KP.UA","https://kp.ua/politics/609686-polytycheskye-posledstvyia-dela-babchenko","Достовірна новина;Маніпуляції з емоціями","Достовірна новина"
"znaj.ua","Його фільми знали усі: помер культовий актор|znaj.ua","http://znaj.ua/events/jogo-filmy-znaly-usi-pomer-kultovyj-aktor","Недостовірна новина","Недостовірна новина"
"kp.ua","Минздрав предупреждает: от рака все умрут - Новости на KP.UA","https://kp.ua/politics/609688-mynzdrav-preduprezhdaet-ot-raka-vse-umrut","Недостовірна новина;Маніпулятивний заголовок;Маніпуляції з емоціями","Недостовірна новина"
"unn.com.ua","Ростовські козаки обіцяли не бити чоловіків, що цілуються, на ЧС-2018 - новини на УНН | 4 червня 2018, 17:59","http://unn.com.ua/uk/news/1734300-rostovski-kozaki-obitsyali-ne-biti-cholovikiv-scho-tsiluyutsya-na-chs-2018","Достовірна новина;Маніпулятивний заголовок","Достовірна новина"
"ukranews.com","В Одессе на пляже пьяный рыбак из-за ссоры пырнул ножом своего друга | Українські Новини","http://ukranews.com/news/566849-v-odesse-na-plyazhe-pyanyy-rybak-yz-za-ssory-pyrnul-nozhom-svoego-druga","Ненадійне джерело інформації","Ненадійне джерело інформації"
"from-ua.com","Какая еда самая опасная летом","http://from-ua.com/news/446851-kakaya-eda-samaya-opasnaya-letom.html","Недостовірна новина","Недостовірна новина"
"kp.ru","Экс-президент Эстонии пригрозил России потерей Петербурга","http://kp.ru/daily/26834.5/3878711/","Недостовірна новина;Маніпулятивний заголовок;Маніпуляції з емоціями;Мова ворожнечі","Недостовірна новина"
"obozrevatel.com","Бабочки в Киеве: жителей столицы удивило аномальное нашествие - новости Киев | Кияни Обозреватель 4 июня","https://www.obozrevatel.com/kiyany/vizhu-vpervyie-v-zhizni-kievlyan-udivilo-anomalnoe-nashestvie.htm","Ненадійне джерело інформації","Ненадійне джерело інформації"
"segodnya.ua","В Бразилии прошел крупнейший прайд в мире - СЕГОДНЯ","http://segodnya.ua/world/wnews/v-san-paulu-proshel-krupneyshiy-v-mire-lgbt-prayd--1143957.html","Недостовірна новина","Недостовірна новина"
"interfax.com.ua","Виновник смертельного ДТП на Набережной в Запорожье - гражданин Армении, суд арестовал его на 2 месяца","http://interfax.com.ua/news/general/509740.html","Достовірна новина;Мова ворожнечі","Достовірна новина"
"gazeta.ua","Український фільм показиватимуть у літаках Turkish Airlines | Новини на Gazeta.ua","http://gazeta.ua/articles/culture/_ukrayinskij-film-pokazivatimut-u-litakah-turkish-airlines/840625","Ненадійне джерело інформації","Ненадійне джерело інформації"
"interfax.com.ua","Гражданин Украины арестован в РФ по делу о покушении на контрабанду запчастей для военной техники","http://interfax.com.ua/news/general/509742.html","Ненадійне джерело інформації","Ненадійне джерело інформації"
"ukranews.com","Спецназовцы показали детям, как перерезать горло для популяризации армии, - мэр Энергодара | Українські Новини","http://ukranews.com/news/566862-specnazovcy-pokazaly-detyam-kak-pererezat-gorlo-dlya-populyaryzacyy-armyy-mehr-ehnergodara","Достовірна новина;Маніпулятивний заголовок","Достовірна новина"
"kp.ua","Самое дорогое авто продали за $70 млн - Новости на KP.UA","https://kp.ua/life/609702-samoe-dorohoe-avto-prodaly-za-70-mln","Ненадійне джерело інформації","Ненадійне джерело інформації"
"from-ua.com","Человечеству грозит неизлечимая эпидемия","http://from-ua.com/news/446859-chelovechestvu-grozit-neizlechimaya-epidemiya.html","Недостовірна новина;Маніпулятивний заголовок;Фейк;Маніпуляції з емоціями","Недостовірна новина"
"rbc.ua","В мае от аренды госимущества в бюджет поступило 120 млн гривен | РБК Украина","https://www.rbc.ua/rus/news/mae-arendy-gosimushchestva-byudzhet-postupilo-1528122259.html","Ненадійне джерело інформації","Ненадійне джерело інформації"
"newsone.ua","Гройсман пообещал уйти в отставку, если ВР не проголосует за создание АКС - Литвин заявил, что он ничем не рискует | NEWSONE","http://newsone.ua/news/society/litvin-o-zajavlenii-hrojsmana-on-nichem-ne-riskuet-vse-eto-khorosho-ponimajut.html","Достовірна новина;Маніпуляції з емоціями;Маніпулятивний заголовок","Достовірна новина"
"vesti.ru","Повлияет ли ""торговая война"" на нефтяные цены?","http://www.vestifinance.ru/articles/102313","Недостовірна новина","Недостовірна новина"
"hvylya.net","Без транша МВФ упадут политические рейтинги Гройсмана, - Найем","http://hvylya.net/news/digest/bez-transha-mvf-upadut-politicheskie-reytingi-groysmana-nayem.html","Достовірна новина;Маніпулятивний заголовок","Достовірна новина"
"from-ua.com","Убийство по-советски: дерзкие покушения на Хрущева, Брежнева и Горбачева. ФОТО","http://from-ua.com/news/446865-ubiistvo-po-sovetski-derzkie-pokusheniya-na-hruscheva-brezhneva-i-gorbacheva-foto.html","Достовірна новина;Маніпуляції з емоціями","Достовірна новина"
"ukranews.com","В Нью-Йорке открылась первая персональная выставка украинской художницы Зинаиды | Українські Новини","http://ukranews.com/news/566872-v-nyu-jjorke-otkrylas-pervaya-personalnaya-vystavka-ukraynskoy-khudozhnycy-zynaydy","Ненадійне джерело інформації","Ненадійне джерело інформації"
"znaj.ua","Дорога в пекло: в Пітері машини їдуть крізь вогонь|znaj.ua","http://znaj.ua/world/doroga-v-peklo-v-piteri-mashyny-yidut-kriz-vogon","Ненадійне джерело інформації;Маніпулятивний заголовок;Маніпуляції з емоціями","Ненадійне джерело інформації"
"from-ua.com","Почему ставят веник вверх ногами: приметы и суеверия","http://from-ua.com/news/446877-pochemu-stavyat-venik-vverh-nogami-primeti-i-sueveriya-1.html","Недостовірна новина","Недостовірна новина"
"fakty.ua","Савик Шустер озвучил главную цель покушения на Бабченко - ""ФАКТЫ""","http://fakty.ua/270638-savik-shuster-ozvuchil-glavnuyu-cel-pokusheniya-na-babchenko","Достовірна новина;Маніпулятивний заголовок","Достовірна новина"
"gordonua.com","Брата участницы смертельного ДТП в Харькове Зайцевой остановили пьяным за рулем - ""Авто Евро Сила"" / ГОРДОН","http://gordonua.com/news/localnews/brata-uchastnicy-smertelnogo-dtp-v-harkove-zaycevoy-ostanovili-pyanym-za-rulem-avto-evro-sila-249400.html","Ненадійне джерело інформації","Ненадійне джерело інформації"
"telegraf.com.ua","Instagram француженки оказался социальной рекламой против алкоголизма (Фото) - Женские новости - Новости Телеграф","https://telegraf.com.ua/zhizn/zhenshhinyi/4085561-instagram-frantsuzhenki-okazalsya-sotsialnoy-reklamoy-protiv-alkogolizma-foto.html","Недостовірна новина","Недостовірна новина"
"znaj.ua","Цеглини на голову падають: лікарня перетворилася на найнебезпечніше місце для дітей|znaj.ua","http://znaj.ua/society/ceglyny-na-golovu-padayut-likarnya-peretvorylasya-v-najnebezpechnishe-misce-dlya-ditej","Ненадійне джерело інформації;Маніпулятивний заголовок","Ненадійне джерело інформації"
"politeka.net","Украинский турист ушел из жизни на Кипре при загадочных обстоятельствах: подробности. Politeka","https://politeka.net/news/society/662591-ukrainskij-turist-ushel-iz-zhizni-na-kipre-pri-zagadochnyh-obstojatelstvah-podrobnosti/","Ненадійне джерело інформації;Маніпулятивний заголовок","Ненадійне джерело інформації"
"politeka.net","Потасовка с иностранцами в Киеве: первые подробности и кадры беспредела. Politeka","https://politeka.net/news/incidents/662734-potasovka-s-inostrancami-v-kieve-pervye-podrobnosti-i-kadry-bespredela/","Недостовірна новина;Маніпулятивний заголовок;Маніпуляції з емоціями;Мова ворожнечі","Недостовірна новина"
"telegraf.com.ua","Кэти Перри пошутила над Орландо Блумом - Новости журнала - Новости Телеграф 4 июня","https://telegraf.com.ua/zhizn/zhurnal/4097040-keti-perri-poshutila-nad-orlando-blumom.html","Недостовірна новина","Недостовірна новина"
"facenews.ua","В Киеве заявили, что Донецк уходит под землю | FaceNews.ua: новости Украины","http://facenews.ua/news/2018/408948/","Достовірна новина;Маніпулятивний заголовок","Достовірна новина"
"znaj.ua","День пам'яті преподобної Єфросинії: біографія святої|znaj.ua","http://znaj.ua/popcorn/den-pamyati-prepodobnoyi-yefrosyniyi-biografiya-svyatoyi","Недостовірна новина","Недостовірна новина"
"znaj.ua","Що сталося? Заробітки в Польщі більше не приваблюють українців|znaj.ua","http://znaj.ua/society/sho-stalosya-zarobitky-v-polshi-bilshe-ne-pryvablyuyut-ukrayinciv","Недостовірна новина","Недостовірна новина"
"fakty.ua","Брат харьковской автохулиганки Зайцевой задержан пьяным за рулем - ""ФАКТЫ""","http://fakty.ua/270648-brat-harkovskoj-avtohuliganki-zajcevoj-zaderzhan-pyanym-za-rulem","Ненадійне джерело інформації","Ненадійне джерело інформації"
"kp.ua","Кончита Вурст кардинально сменила имидж - Новости на KP.UA","https://kp.ua/culture/609716-konchyta-vurst-kardynalno-smenyla-ymydzh","Недостовірна новина","Недостовірна новина"
"from-ua.com","Підтримка вищих сил: годинник янгола-охоронця на червень 2018 року","http://from-ua.com/news/446884-pidtrimka-vischih-sil-godinnik-yangola-ohoroncya-na-cherven-2018-roku.html","Недостовірна новина;Маніпулятивний заголовок;Фейк;Маніпуляції з емоціями","Недостовірна новина"
"fakty.ua","Солистка ""Фристайла"" Нина Кирсо в коме - ""ФАКТЫ""","http://fakty.ua/270649-solistka-fristajla-nina-kirso-v-kome","Ненадійне джерело інформації","Ненадійне джерело інформації"
"zik.ua","Кірш: Чому держава бере на себе колосальні борги ""Приватбанку""? Це не відбивається на бюджеті?","http://zik.ua/news/2018/06/04/kirsh_chomu_derzhava_bere_na_sebe_kolosalni_borgy_pryvatbanku_tse_ne_1338497","Ненадійне джерело інформації","Ненадійне джерело інформації"
"kp.ru","Владимир Путин: Если я отдыхаю, то не считаю необходимым прятаться за кустами","http://kp.ru/daily/26837/3878790/","Недостовірна новина;Маніпулятивний заголовок;Фейк;Маніпуляції з емоціями;Мова ворожнечі","Недостовірна новина"
"strana.ua","Ростовские казаки пообещали не бить геев нагайками во время ЧМ-2018","http://strana.ua/news/144775-kazaki-poobeshchali-ne-bit-bolelshchikov-na-chempionate-mira-v-rostove-na-donu-.html","Достовірна новина;Маніпулятивний заголовок","Достовірна новина"
"fakty.ictv.ua","Ентомолог пояснив причину нашестя метеликів у Києві | Факти","https://fakty.ictv.ua/ua/ukraine/20180604-entomolog-poyasnyv-prychynu-nashestya-metelykiv-u-kyyevi/","Ненадійне джерело інформації","Ненадійне джерело інформації"
"politeka.net","Этот парламент нужно разогнать: Шахов раскрыл печальную картину по пенсиям и переселенцам. Politeka","https://politeka.net/news/politics/662768-jetot-parlament-nuzhno-razognat-shahov-raskryl-pechalnuju-kartinu-po-pensijam-i-pereselencam/","Недостовірна новина","Недостовірна новина"
"zaxid.net","Львів вкотре зустрічатиме Свято Морозива від компанії ""РУДЬ"" - ZAXID.NET","http://zaxid.net/lviv_vkotre_zustrichatime_svyato_moroziva_vid_kompaniyi_rud_n1458108","Недостовірна новина","Недостовірна новина"
"zaxid.net","Активісти повідомили про затримання у Харкові п’яним за кермом брата Олени Зайцевої - ZAXID.NET","http://zaxid.net/aktivisti_povidomili_pro_zatrimannya_u_harkovi_pyanim_za_kermom_brata_oleni_zaytsevoyi_n1458312","Ненадійне джерело інформації","Ненадійне джерело інформації"
"zaxid.net","ФК ""Карпати"" та ""Львів"" отримали календар матчів УПЛ на наступний сезон - ZAXID.NET","http://zaxid.net/fk_karpati_ta_lviv_otrimali_kalendar_matchiv_upl_na_nastupniy_sezon_n1458398","Недостовірна новина","Недостовірна новина"
"strana.ua","Месси потролил хейтеров и снялся в стильной рекламе с козлами. Фото","http://strana.ua/news/144855-futbol-messi-snjalsja-v-reklame-buts-s-kozlami-goat.html","Ненадійне джерело інформації;Маніпулятивний заголовок;Маніпуляції з емоціями","Ненадійне джерело інформації"
"strana.ua","Застрелился режиссер, снимавший фильмы об атошниках. Что о нем известно","http://strana.ua/news/144891-leonid-kanter-chto-izvestno-ob-ukrainskom-rezhissere-pokonchivshem-s-soboj.html","Достовірна новина;Маніпуляції з емоціями","Достовірна новина"
"zn.ua","Пошлины США на сталь и алюминий - Мэй назвала неоправданными заградительные пошлины США на сталь и алюминий - Новости мира. Последние новости России, новости США, новости Европы. - zn.ua","http://zn.ua/WORLD/mey-nazvala-neopravdannymi-zagraditelnye-poshliny-ssha-na-stal-i-alyuminiy-285820_.html","Недостовірна новина","Недостовірна новина"
"hronika.info","Alfa Romeo разрабатывает мощный суперкар","http://hronika.info/avto/323068-alfa-romeo-razrabatyvaet-moschnyy-superkar.html","Ненадійне джерело інформації","Ненадійне джерело інформації"
"fakty.ictv.ua","У Києві чоловік стрибнув з мосту і потрапив під авто | Факти","https://fakty.ictv.ua/ua/proisshestvija/20180605-u-kyyevi-cholovik-strybnuv-z-mostu-i-potrapyv-pid-avto/","Ненадійне джерело інформації","Ненадійне джерело інформації"
"apostrophe.ua","Новости Украины - Сеть восхитил вежливый проводник в поезде Львов-Херсон - Смотреть фото - Апостроф","https://apostrophe.ua/news/society/accidents/2018-06-05/set-voshitil-vejlivyiy-provodnik-v-poezde-lvov-herson-opublikovano-foto-/132054","Ненадійне джерело інформації","Ненадійне джерело інформації"
"zik.ua","Україні дали важливу пораду щодо розвитку країни","http://zik.ua/news/2018/06/05/ukraini_daly_vazhlyvu_poradu_shchodo_rozvytku_krainy_1338605","Достовірна новина;Маніпулятивний заголовок","Достовірна новина"
"from-ua.com","Мавпа огидна або тигриця фатальна? Еротичне фото Лорак розділило фанів","http://from-ua.com/news/446890-mavpa-ogidna-abo-tigricya-fatalna-erotichne-foto-lorak-rozdililo-faniv.html","Недостовірна новина;Маніпулятивний заголовок;Маніпуляції з емоціями","Недостовірна новина"
"fakty.ua","Путин открестился от ""фабрики троллей"" - ""ФАКТЫ""","http://fakty.ua/270659-putin-otkrestilsya-ot-fabriki-trollej","Недостовірна новина","Недостовірна новина"
"apostrophe.ua","Новости Киева - Герой парковки - Мешают мамам с детьми: в сети показали фото сверхнаглых героев парковки в Киеве - Апостроф","https://apostrophe.ua/news/society/kiev/2018-06-05/meshayut-mamam-s-detmi-v-seti-pokazali-foto-sverhnaglyih-geroev-parkovki-v-kieve/132106","Ненадійне джерело інформації","Ненадійне джерело інформації"
"obozrevatel.com","Вытесним Россию: выяснились оружейные планы Украины - новости Украина | Обозреватель","https://www.obozrevatel.com/crime/vyitesnim-rossiyu-vyiyasnilis-oruzhejnyie-planyi-ukrainyi.htm","Достовірна новина;Маніпулятивний заголовок","Достовірна новина"
"politeka.net","На Донбассе пропал главарь ""ДНР"": первые подробности. Politeka","https://politeka.net/news/incidents/662775-na-donbasse-propal-glavar-dnr-pervye-podrobnosti/","Недостовірна новина","Недостовірна новина"
"lenta.ru","Смельчак уволок за хвост живую акулу длиной полтора метра: Звери: Из жизни: Lenta.ru","http://lenta.ru/news/2018/06/04/shark/","Ненадійне джерело інформації","Ненадійне джерело інформації"
"podrobnosti.ua","Гороскоп на 5 июня для всех знаков зодиака | podrobnosti.ua","http://podrobnosti.ua/2244441-goroskop-na-5-ijunja-dlja-vseh-znakov-zodiaka.html","Недостовірна новина","Недостовірна новина"
"lenta.ru","Свадебные наряды лесбиянок посеяли раздор в сети: Coцсети: Интернет и СМИ: Lenta.ru","http://lenta.ru/news/2018/06/05/lesbi_wedding/","Ненадійне джерело інформації;Маніпулятивний заголовок;Маніпуляції з емоціями;Мова ворожнечі","Ненадійне джерело інформації"
"zik.ua","В окупантів Донбасу величезні втрати на позиції, яку розгромили бійці ЗСУ","http://zik.ua/news/2018/06/05/v_okupantiv_donbasu_velychezni_vtraty_na_pozytsii_yaku_rozgromyly_biytsi_zsu_1338645","Ненадійне джерело інформації","Ненадійне джерело інформації"
